#Pump $I$ (V),	Pump $\delta$ (MHz),	Rv	 defualt=[  0.84   0.35  88.     0.22  90.  ]
1.9,	-14.265605126113783,	0.05456016857033406
1.906060606060606,	-14.2595311888503,	0.05456157549408993
1.9121212121212123,	-14.241242277381637,	0.05456578082929424
1.9158883603016936,	-14.222222222222229,	0.05456978304724401
1.918181818181818,	-14.210536516019129,	0.05457273855450243
1.9242424242424243,	-14.167073324732838,	0.05458237290470938
1.9303030303030302,	-14.11036444627716,	0.05459457974689354
1.9346000970453154,	-14.060606060606062,	0.0546047203085625
1.9363636363636363,	-14.039769172978632,	0.05460922847344121
1.9424242424242424,	-13.95448126856635,	0.054626164339741594
1.945796203746375,	-13.898989898989896,	0.05463651053944401
1.9484848484848485,	-13.853509691392063,	0.054645211194126395
1.954460178755025,	-13.73737373737373,	0.05466586711450912
1.9545454545454544,	-13.735663826121627,	0.05466617455470616
1.9606060606060605,	-13.599530444602701,	0.05468884493388694
1.9615596610464294,	-13.575757575757564,	0.05469255207526295
1.9666666666666666,	-13.443440112127892,	0.0547130013313067
1.9676999063842973,	-13.414141414141428,	0.05471725054876948
1.9727272727272729,	-13.265438210160658,	0.05473841484276498
1.9731312886521395,	-13.25252525252526,	0.05474014764223202
1.977990927244517,	-13.090909090909093,	0.05476132512371259
1.9787878787878788,	-13.06324338777996,	0.05476485227507778
1.982404854108025,	-12.929292929292927,	0.054781020558050744
1.9848484848484849,	-12.834197050022691,	0.054792079699328235
1.986467500534099,	-12.767676767676761,	0.054799456653382164
1.9902202557318172,	-12.606060606060595,	0.05481668657053464
1.9909090909090907,	-12.575206437291907,	0.05481986587551587
1.9937037249832017,	-12.444444444444457,	0.054832803814927514
1.9969667340609707,	-12.28282828282829,	0.05484797168411078
1.9969696969696968,	-12.282676899630841,	0.054847985477548974
2.00002465630116,	-12.121212121212125,	0.054862217162038866
2.002906343708571,	-11.959595959595958,	0.05487564473571807
2.003030303030303,	-11.952428487496654,	0.05487622205789114
2.0056359829232027,	-11.797979797979792,	0.05488834679730659
2.008217298195234,	-11.636363636363626,	0.05490032625736922
2.009090909090909,	-11.579596847398228,	0.05490437070818038
2.010678330721367,	-11.47474747474746,	0.054911705319806235
2.01302095750599,	-11.313131313131322,	0.05492248674625013
2.015151515151515,	-11.1585161800706,	0.05493224037937144
2.015247183381946,	-11.151515151515156,	0.05493267716151339
2.017399035515563,	-10.98989898989899,	0.054942469808072894
2.019447661956115,	-10.828282828282823,	0.05495173149824028
2.021212121212121,	-10.682579569492756,	0.05495965583424882
2.021404777518869,	-10.666666666666657,	0.05496051821690707
2.0233122535006096,	-10.505050505050491,	0.05496902164900788
2.025134355526932,	-10.343434343434353,	0.054977082271607955
2.02687668542136,	-10.181818181818187,	0.05498472953559914
2.0272727272727273,	-10.144067487185485,	0.05498645921517509
2.0285824501162333,	-10.02020202020202,	0.05499215818395328
2.0302280236723664,	-9.858585858585855,	0.054999265980900276
2.0318059815085903,	-9.696969696969688,	0.055006024611708865
2.033305148152579,	-9.53698153817072,	0.05501239201499546
